seed,status,score,layout_count,platform_count,ramp_count,reachable_ramps,reachable_platforms,link_segments,link_connections,failed_link_connections,coverage_ratio,base_reachable_ratio,unique_layouts,elevation_span,decoration_count,blocking_ground_decorations,error_count,warning_count,generation_ms,analysis_ms,errors,warnings
1,INVALID,23.099,7,12,13,5,5,11,6,0,0.157988,0.54434,5,21.779,189,28,2,3,10.965,5.726,unreachable_platforms:7|base_reachable_ratio_too_low:0.544,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
2,INVALID,64.325,6,13,13,11,11,8,5,0,0.166857,1.0,5,27.717,196,28,1,3,11.443,9.612,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
3,INVALID,62.575,7,13,15,13,11,12,6,0,0.164724,0.997716,5,46.171,195,27,1,3,10.377,8.998,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
4,INVALID,42.827,8,12,12,11,11,11,7,1,0.167361,0.857203,3,33.087,192,26,2,4,12.582,8.254,unreachable_platforms:1|base_reachable_ratio_too_low:0.857,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
5,INVALID,23.214,8,12,14,6,5,10,7,0,0.172652,0.705964,4,28.173,196,27,2,3,9.994,6.913,unreachable_platforms:7|base_reachable_ratio_too_low:0.706,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:14
6,INVALID,62.758,7,13,13,12,12,9,6,1,0.164539,1.0,4,37.343,191,27,1,4,12.42,9.408,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
7,INVALID,50.303,7,14,16,11,9,12,6,1,0.164942,0.940677,6,20.925,193,27,1,4,14.898,8.554,unreachable_platforms:5,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:10
8,INVALID,43.539,7,13,15,11,10,10,6,0,0.170804,0.867853,5,37.367,200,29,2,3,12.746,7.933,unreachable_platforms:3|base_reachable_ratio_too_low:0.868,coverage_capped_by_available_surface|link_platform_intersections:8|raised_links_without_explicit_vertical_transition:12
9,INVALID,51.901,5,11,11,9,9,8,4,0,0.125302,0.997948,3,39.456,170,27,2,3,8.436,9.948,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
10,INVALID,62.937,6,14,14,11,11,8,5,0,0.156813,0.974035,5,45.997,191,28,1,3,11.601,9.231,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:10
