seed,status,score,layout_count,platform_count,ramp_count,reachable_ramps,reachable_platforms,link_segments,link_connections,failed_link_connections,coverage_ratio,base_reachable_ratio,unique_layouts,elevation_span,decoration_count,blocking_ground_decorations,error_count,warning_count,generation_ms,analysis_ms,errors,warnings
1531,INVALID,66.132,5,7,12,10,7,6,4,0,0.112285,1.0,3,44.101,166,27,1,3,12.896,12.387,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
1532,INVALID,71.028,6,13,16,14,12,8,5,0,0.153689,0.999794,6,49.48,180,27,1,3,13.203,11.593,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:10
1533,INVALID,64.479,7,11,15,12,10,9,6,1,0.165312,1.0,5,25.859,198,29,1,4,16.718,11.308,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:10
1534,INVALID,0,6,13,14,0,0,12,5,0,0.15908,0.0,5,24.958,195,28,4,3,17.148,1.819,arrival_blocked_by_link|arrival_has_no_free_navigation_cell|unreachable_platforms:13|base_reachable_ratio_too_low:0.000,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:10
1535,INVALID,65.915,6,12,13,12,11,11,5,0,0.137681,0.99704,5,60.38,167,28,1,3,11.523,11.527,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:10
1536,INVALID,53.087,9,12,15,11,8,13,8,0,0.197779,0.999887,3,24.658,216,27,1,3,31.622,12.155,unreachable_platforms:4,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:16
1537,INVALID,34.203,8,11,16,8,8,10,7,0,0.180277,0.665753,4,42.882,210,28,2,3,28.182,7.491,unreachable_platforms:3|base_reachable_ratio_too_low:0.666,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:14
1538,INVALID,65.158,6,11,13,11,9,10,5,0,0.165866,1.0,5,61.03,196,27,1,3,22.522,12.197,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
1539,VALID,75.362,7,9,13,13,9,10,6,0,0.152126,0.9999,4,53.185,186,27,0,3,19.408,12.332,,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
1540,INVALID,21.842,8,12,14,5,5,14,7,0,0.174819,0.517153,4,31.938,201,28,2,3,33.616,7.211,unreachable_platforms:7|base_reachable_ratio_too_low:0.517,coverage_capped_by_available_surface|link_platform_intersections:8|raised_links_without_explicit_vertical_transition:11
1541,INVALID,34.271,7,12,13,9,8,12,6,0,0.180781,0.677917,5,49.908,207,28,2,3,20.296,8.764,unreachable_platforms:4|base_reachable_ratio_too_low:0.678,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
1542,INVALID,66.153,6,10,12,10,9,11,5,0,0.148801,0.999896,5,49.637,185,29,1,3,13.174,13.8,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
1543,INVALID,62.623,8,13,16,14,11,12,7,0,0.189415,0.999783,5,53.404,209,28,1,3,29.008,14.015,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:9|raised_links_without_explicit_vertical_transition:14
1544,INVALID,50.064,5,11,12,8,8,9,4,0,0.135733,0.995915,4,32.431,181,29,2,3,15.89,18.328,layout_count_below_minimum|unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:7
1545,INVALID,20.302,8,13,15,5,5,10,7,2,0.185165,0.489515,4,35.275,203,27,2,4,26.09,8.074,unreachable_platforms:8|base_reachable_ratio_too_low:0.490,coverage_capped_by_available_surface|link_connections_without_blocks:2|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
1546,VALID,77.744,6,10,12,11,10,9,5,0,0.155553,1.0,5,46.362,188,28,0,3,23.989,16.457,,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:9
1547,INVALID,63.256,7,10,11,9,9,10,6,0,0.1552,1.0,4,39.971,192,28,1,3,25.717,13.566,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
1548,INVALID,17.846,7,10,13,3,3,10,6,1,0.143896,0.512944,5,39.41,186,27,2,4,19.898,7.689,unreachable_platforms:7|base_reachable_ratio_too_low:0.513,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:10
1549,INVALID,63.64,7,9,15,12,8,10,6,0,0.161432,0.999688,4,49.798,193,26,1,3,16.884,12.861,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
1550,INVALID,63.756,8,10,16,14,9,9,7,0,0.177103,0.998909,5,24.95,209,28,1,3,28.872,11.57,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:11
1551,INVALID,61.12,7,10,15,12,8,11,6,0,0.1703,0.999789,5,28.306,203,26,1,3,17.694,14.703,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
1552,INVALID,61.059,5,11,12,11,10,7,4,0,0.119541,0.994285,5,70.215,169,28,2,3,18.73,13.014,layout_count_below_minimum|unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:8
1553,INVALID,55.797,7,9,12,8,7,9,6,1,0.154814,0.92638,4,129.761,190,27,1,4,22.677,12.419,unreachable_platforms:2,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
1554,INVALID,56.313,8,12,16,14,10,11,7,0,0.180865,0.934866,4,29.967,200,27,1,3,25.043,12.921,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:13
1555,INVALID,65.523,6,13,16,14,12,11,5,0,0.156813,0.958993,6,40.241,197,29,1,3,19.854,11.654,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:8
1556,INVALID,47.292,6,11,13,9,9,9,5,0,0.153403,0.868143,5,34.703,187,28,2,3,19.68,12.36,unreachable_platforms:2|base_reachable_ratio_too_low:0.868,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
1557,INVALID,71.045,5,10,11,11,10,6,4,0,0.121154,0.998967,5,55.347,171,29,1,3,17.046,15.865,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
1558,INVALID,70.536,4,9,10,9,9,10,3,0,0.130677,0.997411,4,41.095,183,28,1,3,14.544,14.57,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:6
1559,INVALID,63.201,8,12,15,14,11,12,7,0,0.178346,0.998703,4,40.84,203,28,1,3,30.06,11.781,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:14
1560,VALID,76.041,6,11,13,12,11,6,5,1,0.14136,0.999902,4,62.409,176,28,0,4,14.267,13.481,,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:8
1561,INVALID,53.055,5,11,13,11,9,10,4,0,0.120297,0.998312,4,37.391,174,27,2,3,20.579,16.296,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:8
1562,INVALID,59.453,4,7,8,7,6,9,3,0,0.101434,0.999905,4,80.835,155,26,2,3,12.721,13.209,layout_count_below_minimum|unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:6
1563,INVALID,64.736,6,8,11,8,7,8,5,0,0.150816,1.0,4,45.488,188,27,1,3,21.916,15.212,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:10
1564,VALID,75.749,6,9,11,10,9,9,5,0,0.153924,0.999791,4,31.846,192,28,0,3,18.697,12.592,,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
1565,INVALID,58.382,7,10,15,12,8,12,6,0,0.153605,0.983598,4,42.09,192,28,1,3,24.385,13.94,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
1566,INVALID,0,7,11,14,0,0,13,6,0,0.167613,0.0,5,45.401,200,28,4,3,26.653,1.085,arrival_blocked_by_link|arrival_has_no_free_navigation_cell|unreachable_platforms:11|base_reachable_ratio_too_low:0.000,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
