rank,build_id,meta_score,profile_origin,signature,comments
1,B00051_experienced,94.654,experienced,character:default_character|weapon:fireball@1|item:corrupted_vial[Common]x2|item:energy_drink[Common]x1|item:golden_sneakers[Common]x1|item:sneakers[Common]x1|item:syringe[Common]x2|item:vampire_tooth[Rare]x1|perk:attack_speed[Epic]x1|perk:collect_radius[Legendary]x2|perk:crit_chance[Epic]x1|perk:crit_multiplier[Common]x1|perk:crit_multiplier[Rare]x2|perk:damage_percent[Epic]x1|perk:effect_duration[Common]x1|perk:elite_flat_damage[Common]x1|perk:elite_flat_damage[Rare]x1|perk:enemy_bounce[Common]x2|perk:enemy_bounce[Epic]x2|perk:enemy_bounce[Rare]x1|perk:flat_damage[Common]x1|perk:flat_damage[Epic]x1|perk:health_regen[Epic]x1|perk:luck[Epic]x1|perk:move_speed[Common]x1|perk:projectile_count[Common]x1|perk:projectile_count[Epic]x1|perk:projectile_count[Legendary]x1|perk:shield[Rare]x1|perk:xp_gain[Rare]x1,"Alerte : combinaison dominante dans l'échantillon analysé. | Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Écart important à la médiane : candidat prioritaire pour un test d'équilibrage."
2,B00114_experienced,93.039,experienced,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x1|item:blue_access_card[Rare]x1|item:camembert[Common]x1|item:corrupted_vial[Common]x2|item:syringe[Common]x3|perk:armor[Legendary]x1|perk:armor[Rare]x1|perk:attack_speed[Common]x1|perk:crit_chance[Common]x1|perk:crit_multiplier[Common]x1|perk:damage_percent[Legendary]x1|perk:damage_percent[Rare]x1|perk:elite_flat_damage[Rare]x3|perk:enemy_bounce[Common]x1|perk:enemy_bounce[Rare]x2|perk:flat_damage[Epic]x1|perk:flat_damage[Legendary]x1|perk:flat_damage[Rare]x2|perk:projectile_count[Common]x4|perk:projectile_count[Epic]x1|perk:shield[Epic]x1|perk:shield[Rare]x2|perk:xp_gain[Epic]x1,"Alerte : combinaison dominante dans l'échantillon analysé. | Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Écart important à la médiane : candidat prioritaire pour un test d'équilibrage."
3,B00093_experienced,84.328,experienced,character:default_character|weapon:fireball@1|item:blue_access_card[Rare]x1|item:camembert[Common]x2|item:corrupted_vial[Common]x2|item:syringe[Common]x2|item:three_leaf_clover[Common]x1|perk:armor[Rare]x1|perk:attack_speed[Rare]x1|perk:collect_radius[Common]x1|perk:collect_radius[Epic]x1|perk:collect_radius[Rare]x1|perk:crit_multiplier[Common]x1|perk:crit_multiplier[Epic]x1|perk:damage_percent[Epic]x1|perk:effect_duration[Common]x1|perk:elite_flat_damage[Common]x1|perk:enemy_bounce[Common]x1|perk:enemy_bounce[Legendary]x1|perk:enemy_bounce[Rare]x1|perk:flat_damage[Common]x1|perk:flat_damage[Epic]x1|perk:more_enemies[Common]x1|perk:move_speed[Epic]x1|perk:projectile_count[Common]x3|perk:projectile_count[Rare]x2|perk:shield[Common]x2|perk:shield[Epic]x1|perk:xp_gain[Legendary]x1,"Build supérieur et robuste dans les scénarios testés. | Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Forte sensibilité au niveau d'adresse du joueur. | Écart important à la médiane : candidat prioritaire pour un test d'équilibrage."
4,B00066_experienced,79.554,experienced,character:default_character|weapon:fireball@1|item:camembert[Common]x1|item:canned_food[Common]x1|item:corrupted_vial[Common]x1|item:golden_sneakers[Common]x1|item:midas_hand[Common]x2|item:syringe[Common]x1|item:vampire_tooth[Rare]x1|perk:armor[Common]x1|perk:attack_speed[Legendary]x1|perk:attack_speed[Rare]x1|perk:crit_chance[Common]x1|perk:crit_multiplier[Legendary]x1|perk:damage_percent[Rare]x1|perk:elite_flat_damage[Common]x1|perk:enemy_bounce[Common]x2|perk:enemy_bounce[Legendary]x1|perk:enemy_bounce[Rare]x2|perk:flat_damage[Rare]x1|perk:gold_gain[Epic]x2|perk:health_regen[Epic]x1|perk:health_regen[Legendary]x1|perk:luck[Common]x1|perk:luck[Epic]x1|perk:projectile_count[Epic]x2|perk:projectile_count[Rare]x1|perk:shield[Common]x2|perk:shield[Epic]x1|perk:xp_gain[Common]x1,"Build supérieur et robuste dans les scénarios testés. | Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Forte sensibilité au niveau d'adresse du joueur. | Écart important à la médiane : candidat prioritaire pour un test d'équilibrage."
5,B00045_experienced,76.035,experienced,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x1|item:camembert[Common]x1|item:canned_food[Common]x1|item:corrupted_vial[Common]x2|item:midas_hand[Common]x1|item:sneakers[Common]x1|item:three_leaf_clover[Common]x1|perk:armor[Rare]x1|perk:attack_speed[Epic]x1|perk:crit_chance[Epic]x2|perk:crit_chance[Rare]x1|perk:crit_multiplier[Common]x3|perk:crit_multiplier[Rare]x1|perk:elite_flat_damage[Common]x1|perk:elite_flat_damage[Rare]x2|perk:enemy_bounce[Epic]x1|perk:enemy_bounce[Legendary]x1|perk:flat_damage[Common]x1|perk:flat_damage[Epic]x1|perk:life_steal[Common]x1|perk:move_speed[Epic]x1|perk:projectile_count[Common]x5|perk:projectile_count[Rare]x1|perk:shield[Common]x1|perk:xp_gain[Epic]x1,"Build supérieur et robuste dans les scénarios testés. | Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:flat_damage (+32.4) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Forte sensibilité au niveau d'adresse du joueur. | Écart important à la médiane : candidat prioritaire pour un test d'équilibrage."
6,B00036_experienced,62.78,experienced,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x2|item:blue_access_card[Rare]x1|item:canned_food[Common]x2|item:corrupted_vial[Common]x1|item:midas_hand[Common]x1|item:three_leaf_clover[Common]x1|perk:attack_speed[Rare]x1|perk:collect_radius[Rare]x1|perk:crit_multiplier[Epic]x1|perk:crit_multiplier[Rare]x2|perk:damage_percent[Common]x1|perk:damage_percent[Epic]x1|perk:damage_percent[Rare]x1|perk:elite_flat_damage[Common]x1|perk:enemy_bounce[Common]x2|perk:flat_damage[Common]x1|perk:life_steal[Rare]x1|perk:projectile_count[Common]x3|perk:projectile_count[Rare]x2|perk:projectile_speed[Legendary]x1|perk:shield[Common]x4|perk:shield[Rare]x1|perk:xp_gain[Rare]x2,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Forte sensibilité au niveau d'adresse du joueur. | Écart important à la médiane : candidat prioritaire pour un test d'équilibrage."
7,B00103_beginner,61.991,beginner,character:default_character|weapon:fireball@1|item:energy_drink[Common]x2|item:golden_sneakers[Common]x1|item:syringe[Common]x1|perk:crit_chance[Rare]x1|perk:crit_multiplier[Common]x1|perk:crit_multiplier[Epic]x1|perk:effect_duration[Common]x1|perk:elite_flat_damage[Common]x1|perk:enemy_bounce[Rare]x2|perk:gold_gain[Common]x2|perk:life_steal[Common]x1|perk:life_steal[Rare]x1|perk:luck[Epic]x1|perk:more_enemies[Common]x1|perk:projectile_count[Common]x1|perk:projectile_speed[Common]x1|perk:xp_gain[Common]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:life_steal (+25.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Forte sensibilité au niveau d'adresse du joueur. | Écart important à la médiane : candidat prioritaire pour un test d'équilibrage."
8,B00048_experienced,56.315,experienced,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x1|item:camembert[Common]x1|item:canned_food[Common]x1|item:red_access_card[Rare]x1|item:syringe[Common]x2|item:vampire_tooth[Rare]x2|perk:attack_speed[Common]x2|perk:attack_speed[Rare]x1|perk:collect_radius[Common]x1|perk:crit_chance[Common]x1|perk:crit_chance[Epic]x2|perk:damage_percent[Epic]x1|perk:enemy_bounce[Common]x3|perk:enemy_bounce[Epic]x1|perk:enemy_bounce[Rare]x1|perk:flat_damage[Common]x1|perk:flat_damage[Rare]x2|perk:gold_gain[Common]x1|perk:health_regen[Common]x1|perk:health_regen[Epic]x1|perk:projectile_count[Common]x2|perk:projectile_count[Epic]x1|perk:projectile_count[Legendary]x1|perk:projectile_count[Rare]x1|perk:projectile_speed[Epic]x1|perk:shield[Rare]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Forte sensibilité au niveau d'adresse du joueur."
9,B00018_experienced,56.215,experienced,character:default_character|weapon:fireball@1|item:blood_infusion[Common]x1|item:blue_access_card[Rare]x1|item:camembert[Common]x1|item:canned_food[Common]x2|item:corrupted_vial[Common]x2|item:syringe[Common]x1|perk:armor[Common]x1|perk:attack_speed[Epic]x1|perk:attack_speed[Legendary]x1|perk:collect_radius[Common]x1|perk:collect_radius[Epic]x1|perk:crit_chance[Common]x1|perk:crit_chance[Rare]x1|perk:crit_multiplier[Common]x2|perk:damage_percent[Legendary]x1|perk:damage_percent[Rare]x1|perk:effect_duration[Common]x1|perk:elite_flat_damage[Rare]x1|perk:enemy_bounce[Epic]x1|perk:enemy_bounce[Legendary]x2|perk:enemy_bounce[Rare]x2|perk:flat_damage[Common]x1|perk:health_regen[Common]x1|perk:health_regen[Epic]x1|perk:projectile_count[Legendary]x1|perk:projectile_count[Rare]x2|perk:projectile_speed[Legendary]x1|perk:xp_gain[Common]x1,"Piliers estimés : perk:enemy_bounce (+325.3), perk:projectile_count (+321.9), perk:damage_percent (+33.0) | Synergie observée : perk:enemy_bounce + perk:projectile_count (+981.4). | Forte sensibilité au niveau d'adresse du joueur."
10,B00016_beginner,55.027,beginner,character:default_character|weapon:fireball@1|item:midas_hand[Common]x2|item:three_leaf_clover[Common]x2|perk:armor[Common]x1|perk:collect_radius[Rare]x1|perk:crit_chance[Common]x1|perk:crit_multiplier[Common]x1|perk:effect_duration[Common]x1|perk:flat_damage[Common]x1|perk:flat_damage[Legendary]x1|perk:gold_gain[Common]x2|perk:health_regen[Common]x2|perk:move_speed[Common]x1|perk:projectile_count[Common]x2|perk:projectile_count[Epic]x1|perk:xp_gain[Rare]x1,"Piliers estimés : perk:projectile_count (+321.9), perk:flat_damage (+32.4), perk:crit_multiplier (+17.6) | Synergie observée : perk:flat_damage + perk:projectile_count (+117.1)."
