component,presence,presence_rate,mean_with,mean_without,impact
perk:enemy_bounce,90,0.75,1150.9168911599504,265.5960506197822,325.2935502729896
perk:projectile_count,98,0.8166666666666667,1150.9168911599504,273.38194365956554,321.85079741080983
perk:damage_percent,83,0.6916666666666667,1013.0179541321113,753.270071832878,32.99157087542409
perk:flat_damage,90,0.75,1114.872846672129,855.8972238022127,32.40262816896577
perk:attack_speed,76,0.6333333333333333,1079.7261742091357,846.853747685053,27.1747692397923
perk:life_steal,44,0.36666666666666664,463.3299784574189,368.83738557759705,25.0020834347322
item:corrupted_vial,50,0.4166666666666667,868.8863052697791,706.3564134703222,18.70674279398713
perk:crit_multiplier,75,0.625,1010.8442186798217,843.800964065317,17.62693569063674
perk:crit_chance,65,0.5416666666666666,798.1717322520578,702.4462483497382,12.616807227715544
perk:elite_flat_damage,90,0.75,1068.8375071988135,977.645128460849,10.64011339135153
item:syringe,52,0.43333333333333335,843.0321268939236,771.4299071251276,7.912828054931351
item:blood_infusion,54,0.45,805.7817880929963,758.2262275178086,6.4776279821674425
item:energy_drink,46,0.38333333333333336,573.7201473500782,539.3102663872991,6.137789696895274
perk:projectile_speed,54,0.45,631.5085568527003,602.1493437463544,4.1310784439247605
item:canned_food,47,0.39166666666666666,732.5578112741106,728.6928091385224,1.1352960765459341
perk:health_regen,80,0.6666666666666666,848.0853970201804,843.3201970201804,0.9099242233758463
perk:xp_gain,73,0.6083333333333333,915.9534433855857,911.3336355555857,0.8694909250295189
perk:armor,68,0.5666666666666667,793.97831949198,791.0604095728513,0.6311398813356102
perk:gold_gain,58,0.48333333333333334,550.409376407104,548.737683967104,0.5531673771544485
perk:shield,96,0.8,1065.8972818861307,1062.2378897794858,0.49699403211877663
perk:collect_radius,78,0.65,867.3770630737029,865.9323521137028,0.24013312487715205
item:midas_hand,53,0.44166666666666665,714.0134718082597,713.1944349082597,0.20483263046031533
perk:move_speed,53,0.44166666666666665,549.938087506823,549.6137635068229,0.11476680709761658
item:sneakers,49,0.4083333333333333,595.3552626346016,595.0018326346016,0.10281909470785336
perk:jump_bonus,38,0.31666666666666665,292.4985739676384,292.3501781781647,0.08371205119904164
item:golden_sneakers,48,0.4,603.104264855392,602.987939855392,0.03793698274495178
item:blue_access_card,23,0.19166666666666668,710.7507079055026,710.7507079055026,0.0
item:camembert,56,0.4666666666666667,829.686020295376,829.686020295376,0.0
item:red_access_card,21,0.175,605.3500661249367,605.3500661249367,0.0
item:three_leaf_clover,49,0.4083333333333333,613.0925604935925,613.0925604935925,0.0
item:vampire_tooth,23,0.19166666666666668,754.2482033632954,754.2482033632954,0.0
perk:effect_duration,54,0.45,585.681850886451,585.681850886451,0.0
perk:luck,59,0.49166666666666664,553.8065063545803,553.8065063545803,0.0
perk:more_enemies,47,0.39166666666666666,412.27581850962207,412.27581850962207,0.0
