a,b,presence,observed,expected_additive,synergy
perk:enemy_bounce,perk:projectile_count,77,1522.7674778123253,533.9792336252461,981.4193559582285
perk:damage_percent,perk:enemy_bounce,65,1376.9455275236317,1062.067756659658,143.50094135522076
perk:damage_percent,perk:projectile_count,72,1376.9455275236317,1064.7396752434122,139.31103625785764
perk:enemy_bounce,perk:flat_damage,69,1505.9036780487404,1213.9170505927907,124.71256804020108
perk:flat_damage,perk:projectile_count,73,1505.9036780487404,1222.4240155554733,117.07959116451777
perk:attack_speed,perk:enemy_bounce,59,1488.521803308731,1214.6710361977646,115.01803291727094
perk:attack_speed,perk:projectile_count,63,1488.521803308731,1223.1451548324414,101.1846554639301
item:corrupted_vial,perk:enemy_bounce,38,1262.029945735527,1052.2082066608016,90.36682237849135
perk:crit_multiplier,perk:enemy_bounce,60,1384.8230428205877,1175.7706131489288,83.3009586698656
perk:crit_multiplier,perk:projectile_count,64,1384.8230428205877,1179.5152477767444,77.48592667348511
item:corrupted_vial,perk:projectile_count,43,1262.029945735527,1064.9222410991122,70.51874160620396
perk:enemy_bounce,perk:life_steal,31,675.9384324633393,567.9140669155735,65.13922544019857
perk:life_steal,perk:projectile_count,33,671.9517689961588,569.5045310293885,58.56398024574272
perk:crit_chance,perk:projectile_count,50,1173.0439521395485,1050.962790440364,49.4802376123973
perk:crit_chance,perk:enemy_bounce,47,1173.726609490741,1055.8700168306557,45.53301894410225
perk:elite_flat_damage,perk:projectile_count,77,1449.2231708714935,1349.7447876404824,41.236947964935325
perk:elite_flat_damage,perk:enemy_bounce,68,1449.2231708714935,1355.2557541260455,34.945554149707206
item:syringe,perk:enemy_bounce,41,1251.9859267820732,1161.2514681080308,33.030547339364766
item:syringe,perk:projectile_count,42,1251.9859267820732,1162.5316841124898,32.106647612667
item:blood_infusion,perk:projectile_count,45,1165.358978714203,1107.441303979141,26.037737127624027
item:blood_infusion,perk:enemy_bounce,45,1165.358978714203,1111.1031240826503,20.567348217558706
item:energy_drink,perk:enemy_bounce,38,841.6326679687658,800.8092674321643,19.36897860334556
item:corrupted_vial,perk:crit_multiplier,30,1182.1749316402177,1026.1721031689858,17.572607375073634
perk:damage_percent,perk:flat_damage,65,1355.1991213507717,1261.9741734858983,16.8152636316519
item:energy_drink,perk:projectile_count,36,841.6326679687658,802.7387847380024,16.72222390353233
perk:projectile_count,perk:projectile_speed,44,906.4296208555476,869.8838689327878,16.05331929638453
perk:enemy_bounce,perk:projectile_speed,39,907.1122782067401,872.0043214946319,13.52452744569989
perk:crit_chance,perk:crit_multiplier,40,963.5968130431307,880.1827910603474,12.003659043409874
item:corrupted_vial,perk:life_steal,17,676.2168769908986,635.5465243731185,11.811990667729885
perk:attack_speed,perk:damage_percent,52,1315.8641853070956,1233.425303730448,11.72671476704908
perk:attack_speed,perk:flat_damage,57,1465.8095949662093,1390.309133089051,10.708246170076734
perk:flat_damage,perk:life_steal,33,632.2318274865297,595.1884221572749,9.829778724236773
perk:attack_speed,perk:life_steal,26,571.4854237544553,541.4580750607767,9.508999581934932
item:corrupted_vial,perk:flat_damage,42,1247.3233538659495,1188.2470785048924,8.451782261608622
perk:crit_multiplier,perk:life_steal,26,544.0249008150744,518.1313655756156,6.796501618013753
perk:crit_multiplier,perk:damage_percent,52,1247.9521341766258,1194.6228924847417,6.7859131246673945
perk:crit_multiplier,perk:flat_damage,54,1360.1533371910623,1306.8535802212389,6.482581183818135
perk:damage_percent,perk:life_steal,26,435.6899388445611,418.2563146713762,6.376675558755514
item:corrupted_vial,perk:attack_speed,34,1200.7599238796893,1145.1186334880595,6.277989124907116
item:corrupted_vial,perk:damage_percent,35,1026.9293244546632,977.0888607817442,6.012659193100188
item:blood_infusion,perk:crit_multiplier,42,1049.5989820844582,1004.568189193613,5.735422969863553
perk:attack_speed,perk:crit_multiplier,48,1342.0498443969275,1287.5515666947263,5.555135445030778
perk:damage_percent,perk:elite_flat_damage,66,1277.4552990251702,1245.9639251560573,4.697619011340026
perk:crit_chance,perk:damage_percent,40,997.3787457726703,968.6202865076583,4.307607402047389
item:syringe,perk:flat_damage,37,1184.6053302142118,1156.1948692456797,3.384200727434361
perk:crit_chance,perk:flat_damage,43,1097.2673854767334,1068.156677885983,3.2284330319734287
perk:attack_speed,perk:crit_chance,44,1103.7080993486559,1072.9686465584782,3.076879563096995
item:blood_infusion,perk:damage_percent,38,1057.244564331403,1036.6743319526424,3.0083112144410484
item:syringe,perk:attack_speed,35,1166.8501610149854,1144.351029394488,2.82030652279381
perk:crit_multiplier,perk:elite_flat_damage,57,1375.8282764648345,1352.728150113548,2.7991133077737325
item:syringe,perk:life_steal,21,429.8844703688582,420.4676548154082,2.6250569115765994
item:energy_drink,perk:damage_percent,31,703.9914655944648,690.918515074186,2.505095041095385
perk:attack_speed,perk:elite_flat_damage,59,1406.6953079213765,1383.8343938316937,2.3985266765889466
item:corrupted_vial,perk:elite_flat_damage,39,1250.7746553589625,1232.47109448715,2.150023255257714
perk:crit_chance,perk:elite_flat_damage,46,1064.2840687895766,1050.5638270655186,2.148871237474814
perk:crit_chance,perk:life_steal,20,347.2017749555512,339.56398647404217,2.126937602455128
item:blood_infusion,perk:flat_damage,43,1120.2923432587713,1106.5673846108818,2.034477664099885
item:blood_infusion,perk:attack_speed,36,1095.1289234925282,1081.5342434837582,1.7335869318698673
item:corrupted_vial,item:syringe,24,848.1522957345464,831.9619198214326,1.7103468110471585
item:energy_drink,perk:flat_damage,32,777.0175280827306,766.902714908013,1.6154817335622613
perk:damage_percent,perk:projectile_speed,35,813.9612835266003,802.056435754837,1.5192496746337012
item:blood_infusion,perk:life_steal,17,513.6519218675636,508.4467789165499,1.4907352870510027
item:energy_drink,perk:life_steal,21,407.62190737385043,403.59710713223495,1.40635492740816
item:syringe,perk:crit_multiplier,29,1050.6402431795984,1035.4569899326923,1.3906999181920607
perk:flat_damage,perk:projectile_speed,42,835.2191101678104,826.6596965705941,1.3251805502924114
item:blood_infusion,perk:elite_flat_damage,37,1029.3375252350177,1021.2626028123112,1.1471139313866472
item:corrupted_vial,item:energy_drink,16,838.2407701836164,828.259646283295,1.1432815814519242
perk:attack_speed,perk:projectile_speed,37,810.9707453075613,801.2257569465227,1.1082109569754077
perk:life_steal,perk:projectile_speed,22,346.46118063915577,343.6328441999098,1.049685187821728
item:energy_drink,perk:crit_multiplier,30,690.5919176804191,683.117055493938,1.0182269247676783
item:syringe,perk:elite_flat_damage,39,1134.603139165488,1126.7597341247513,0.969755325728561
item:energy_drink,perk:crit_chance,27,475.14030365824016,470.99996716136656,0.9285906627144674
item:syringe,perk:crit_chance,31,888.8622658729711,880.9890688844083,0.7328500407530646
perk:crit_multiplier,perk:projectile_speed,28,633.0962291295109,628.561271782772,0.7022199161045632
item:energy_drink,perk:elite_flat_damage,38,822.2411553418475,817.7722196193823,0.6367308508135389
perk:elite_flat_damage,perk:projectile_speed,41,787.470309458943,783.5233186788923,0.6025133168155953
